0,  0,  0,  0,  0,  20,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  20,  20,  0,  0,  20,  21,  20,  21,  0,  0,  22,  0,  0,  21,  0,  0,  0,  22,  0,  21,  0,  22,  23,  23,  22,  0,  0,  0,  0,  0,  20,  20,  0,  0,  20,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  22,  0,  21,  21,  0,  0,  0,  21,  21,  22,  0,  0,  22,  22,  0,  0,  0,  0,  0,  21,  0,  22,  0,  0,  21,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  20,  0,  26,  33,  0,  0,  28,  0,  0,  28,  0,  0,  0,  0,  0,  28,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  20,  31,  24,  0,  22,  20,  20,  21,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  21,  0,  22,  0,  0,  23,  0,  23,  0,  0,  32,  33,  34,  34,  30,  31,  31,  31,  23,  34,  27,  27,  33,  32,  23,  0,  0,  0,  32,  0,  22,  0,  0,  0,  0,  0,  0,  0,  0,  0,  20,  0,  0,  0,  20,  20,  20,  34,  21,  32,  31,  29,  34,  34,  34,  34,  34,  27,  27,  34,  34,  34,  34,  34,  34,  34,  22,  33,  33,  33,  33,  32,  32,  33,  33,  32,  32,  32,  23,  0,  22,  0,  21,  0,  0,  0,  20, 
0,  0,  0,  20,  0,  0,  0,  0,  0,  0,  20,  20,  0,  0,  0,  0,  0,  20,  20,  0,  20,  20,  20,  20,  0,  0,  0,  20,  20,  22,  20,  0,  0,  0,  0,  0,  0,  0,  0,  21,  22,  0,  23,  23,  23,  0,  0,  0,  20,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  20,  0,  0,  0,  0,  21,  0,  0,  0,  0,  0,  0,  0,  21,  0,  0,  0,  0,  0,  0,  20,  20,  0,  0,  0,  0,  0,  22,  22,  0,  0,  0,  0,  0,  0,  20,  0,  0,  0,  0,  0,  22,  0,  0,  0,  0,  28,  28,  0,  0,  0,  0,  0,  0,  28,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  20,  32,  34,  0,  0,  20,  20,  0,  0,  0,  0,  20,  0,  0,  0,  0,  0,  20,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  20,  0,  0,  0,  0,  20,  20,  0,  0,  20,  0,  0,  0,  0,  23,  32,  33,  34,  30,  31,  0,  0,  20,  0,  20,  20,  34,  21,  31,  31,  29,  34,  34,  27,  33,  32,  32,  0,  0,  23,  0,  0,  32,  34,  32,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  20,  20,  20,  20,  20,  32,  31,  30,  34,  34,  34,  34,  34,  34,  27,  33,  33,  34,  29,  29,  29,  29,  0,  22,  28,  26,  34,  34,  26,  26,  26,  27,  33,  32,  32,  32,  23,  23,  0,  0,  22,  0,  0,  21, 
0,  0,  0,  0,  0,  0,  0,  20,  20,  0,  20,  20,  20,  20,  20,  20,  20,  20,  20,  0,  20,  20,  20,  20,  20,  20,  21,  20,  20,  20,  21,  0,  0,  0,  0,  0,  0,  0,  0,  23,  0,  22,  0,  20,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  21,  0,  0,  0,  20,  0,  0,  20,  0,  0,  0,  0,  0,  0,  22,  0,  0,  0,  0,  24,  32,  33,  33,  33,  33,  33,  33,  27,  33,  32,  0,  23,  0,  0,  0,  21,  0,  0,  24,  0,  23,  23,  23,  0,  22,  0,  0,  28,  0,  0,  28,  0,  28,  28,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  31,  34,  0,  22,  20,  21,  0,  0,  21,  0,  0,  0,  0,  0,  0,  20,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  20,  20,  0,  0,  0,  0,  21,  0,  21,  0,  0,  0,  21,  0,  0,  33,  26,  33,  21,  0,  0,  0,  0,  20,  20,  0,  0,  0,  0,  0,  21,  31,  31,  30,  29,  34,  34,  34,  27,  33,  32,  32,  0,  0,  0,  23,  0,  24,  32,  34,  21,  0,  0,  0,  0,  0,  0,  0,  0,  0,  20,  20,  34,  0,  31,  22,  29,  34,  34,  27,  27,  27,  26,  33,  33,  32,  27,  34,  20,  31,  32,  22,  22,  29,  29,  28,  34,  34,  34,  34,  26,  33,  33,  32,  32,  0,  23,  0,  0,  22,  0,  0,  0, 
20,  20,  0,  0,  0,  20,  20,  20,  20,  20,  20,  20,  20,  20,  20,  20,  20,  20,  20,  20,  21,  20,  20,  20,  21,  20,  20,  20,  20,  20,  21,  20,  0,  20,  0,  0,  0,  0,  0,  21,  0,  0,  0,  0,  0,  0,  0,  20,  0,  21,  0,  0,  23,  24,  0,  0,  23,  23,  0,  24,  25,  32,  29,  29,  33,  29,  34,  33,  33,  32,  26,  0,  26,  27,  32,  34,  21,  21,  34,  33,  34,  21,  21,  34,  0,  32,  31,  31,  32,  31,  30,  23,  34,  34,  33,  32,  24,  23,  22,  0,  21,  21,  21,  21,  22,  24,  0,  0,  26,  23,  27,  34,  0,  28,  28,  28,  0,  28,  28,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  20,  20,  0,  20,  34,  32,  27,  32,  20,  0,  21,  21,  0,  0,  21,  0,  0,  20,  0,  20,  0,  0,  0,  20,  20,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  20,  0,  20,  0,  20,  20,  0,  0,  0,  20,  0,  32,  32,  21,  0,  28,  28,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  20,  0,  34,  33,  21,  32,  31,  22,  34,  34,  34,  27,  33,  33,  32,  0,  0,  0,  0,  23,  0,  0,  23,  26,  0,  33,  0,  0,  0,  0,  0,  0,  0,  20,  33,  32,  32,  31,  22,  26,  34,  34,  34,  27,  27,  27,  33,  32,  0,  0,  32,  33,  34,  31,  31,  30,  30,  29,  28,  34,  34,  26,  34,  34,  33,  32,  23,  0,  22,  0,  0,  21,  0,  0,  0,  0, 
20,  20,  20,  20,  20,  0,  0,  0,  23,  32,  32,  32,  33,  33,  32,  32,  0,  0,  22,  20,  20,  22,  21,  0,  20,  20,  20,  20,  0,  0,  0,  0,  20,  0,  0,  20,  0,  0,  0,  0,  21,  21,  0,  0,  0,  34,  34,  32,  31,  31,  32,  22,  33,  22,  31,  34,  30,  34,  34,  30,  34,  33,  33,  32,  32,  26,  26,  0,  24,  24,  0,  0,  0,  32,  34,  31,  21,  0,  20,  0,  0,  0,  0,  21,  33,  0,  0,  32,  31,  26,  34,  34,  34,  27,  33,  32,  0,  0,  22,  0,  0,  0,  0,  0,  0,  0,  0,  0,  25,  27,  25,  25,  34,  0,  0,  28,  28,  28,  28,  28,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  20,  0,  20,  20,  20,  34,  31,  26,  33,  20,  20,  21,  21,  0,  0,  21,  0,  0,  20,  20,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  20,  20,  0,  0,  20,  0,  0,  0,  0,  0,  0,  26,  0,  0,  0,  0,  28,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  20,  20,  20,  0,  34,  33,  33,  32,  30,  29,  34,  34,  34,  33,  33,  33,  23,  0,  21,  0,  0,  20,  20,  0,  0,  21,  0,  32,  32,  0,  0,  20,  0,  20,  34,  21,  31,  31,  31,  30,  29,  34,  34,  34,  34,  34,  27,  32,  24,  0,  22,  0,  21,  22,  32,  30,  31,  31,  30,  29,  26,  34,  34,  34,  34,  33,  32,  0,  22,  21,  0,  0,  0,  20,  20,  0,  0, 
20,  20,  23,  32,  32,  32,  32,  32,  32,  23,  23,  32,  20,  23,  0,  22,  20,  20,  20,  0,  0,  22,  0,  32,  32,  32,  33,  33,  33,  34,  34,  34,  34,  27,  27,  34,  34,  34,  34,  34,  29,  34,  0,  31,  31,  34,  26,  34,  29,  34,  34,  34,  34,  26,  26,  34,  34,  34,  34,  27,  32,  32,  32,  24,  0,  22,  0,  0,  0,  0,  0,  0,  0,  26,  34,  31,  22,  0,  0,  0,  0,  20,  20,  0,  34,  34,  21,  31,  31,  30,  29,  34,  34,  34,  27,  33,  32,  0,  23,  0,  0,  21,  0,  20,  0,  0,  0,  0,  0,  27,  27,  27,  27,  27,  0,  20,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  20,  20,  20,  34,  34,  33,  33,  32,  30,  26,  33,  20,  20,  20,  0,  20,  20,  21,  21,  0,  0,  20,  0,  0,  0,  0,  0,  0,  0,  0,  20,  20,  0,  0,  0,  0,  20,  20,  20,  0,  0,  20,  20,  20,  20,  20,  20,  0,  0,  0,  0,  0,  0,  20,  20,  20,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  28,  28,  0,  0,  0,  0,  0,  0,  0,  0,  0,  20,  20,  34,  33,  33,  33,  21,  32,  30,  29,  34,  34,  27,  33,  32,  32,  0,  21,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  22,  25,  34,  34,  0,  0,  20,  34,  32,  31,  30,  22,  29,  23,  34,  34,  34,  27,  33,  32,  23,  0,  0,  0,  0,  0,  0,  24,  32,  34,  26,  23,  26,  34,  34,  34,  34,  33,  32,  20,  0,  0,  0,  0,  0,  0,  0,  0,  0, 
22,  0,  0,  23,  32,  32,  33,  27,  33,  33,  33,  33,  34,  34,  34,  34,  34,  31,  0,  0,  21,  0,  0,  20,  20,  33,  21,  31,  30,  29,  21,  22,  30,  30,  31,  30,  31,  31,  32,  31,  31,  30,  20,  34,  29,  29,  31,  23,  29,  29,  20,  23,  29,  34,  34,  34,  34,  34,  34,  33,  23,  20,  0,  0,  21,  0,  0,  0,  0,  0,  0,  0,  20,  0,  33,  31,  31,  22,  21,  21,  0,  34,  33,  34,  33,  32,  31,  32,  30,  20,  26,  34,  34,  34,  33,  32,  23,  0,  0,  0,  0,  20,  0,  0,  0,  0,  0,  0,  0,  0,  0,  27,  25,  25,  33,  34,  32,  0,  20,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  20,  20,  20,  34,  33,  21,  21,  31,  22,  29,  34,  33,  32,  20,  21,  20,  20,  21,  0,  21,  0,  0,  20,  0,  0,  0,  0,  20,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  20,  20,  20,  20,  20,  20,  0,  0,  0,  0,  0,  20,  0,  0,  0,  0,  0,  0,  0,  20,  25,  0,  28,  28,  0,  0,  0,  28,  28,  28,  0,  0,  0,  0,  0,  0,  0,  0,  0,  20,  0,  0,  0,  20,  20,  20,  34,  34,  0,  32,  22,  34,  34,  34,  27,  32,  32,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  25,  34,  33,  0,  34,  21,  31,  22,  29,  29,  23,  34,  34,  34,  33,  33,  0,  0,  22,  0,  0,  0,  0,  0,  0,  0,  21,  20,  32,  25,  34,  34,  34,  34,  33,  32,  20,  22,  0,  21,  21,  0,  0,  0,  0,  0, 
23,  0,  32,  33,  0,  0,  34,  34,  34,  31,  22,  22,  34,  21,  0,  0,  20,  0,  0,  0,  0,  0,  0,  20,  20,  33,  31,  34,  23,  21,  22,  21,  23,  29,  30,  23,  23,  23,  26,  26,  26,  26,  22,  20,  22,  22,  29,  34,  28,  23,  29,  26,  34,  34,  26,  26,  26,  34,  27,  33,  32,  22,  20,  21,  0,  20,  0,  0,  0,  0,  0,  0,  0,  0,  26,  32,  33,  22,  21,  21,  0,  21,  34,  21,  32,  32,  31,  31,  30,  29,  34,  34,  34,  27,  33,  32,  0,  22,  21,  0,  20,  20,  0,  0,  0,  0,  0,  0,  0,  0,  0,  20,  0,  26,  29,  34,  33,  33,  22,  20,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  20,  20,  20,  34,  33,  21,  32,  30,  29,  34,  0,  28,  34,  33,  20,  21,  20,  0,  0,  0,  0,  21,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  21,  0,  22,  32,  34,  0,  0,  28,  28,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  20,  20,  33,  21,  31,  31,  30,  29,  34,  34,  27,  33,  32,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  32,  30,  32,  21,  31,  30,  22,  29,  34,  34,  34,  26,  33,  32,  0,  0,  21,  0,  0,  0,  0,  0,  0,  0,  0,  0,  20,  21,  25,  34,  34,  27,  33,  32,  20,  22,  0,  0,  0,  0,  0,  0,  0,  0, 
34,  32,  33,  34,  0,  21,  0,  0,  0,  20,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  28,  28,  0,  20,  31,  29,  26,  23,  21,  28,  26,  23,  28,  23,  23,  23,  23,  26,  26,  26,  26,  26,  28,  23,  28,  28,  26,  28,  26,  28,  28,  34,  34,  34,  34,  34,  34,  34,  27,  33,  32,  0,  22,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  20,  0,  0,  0,  21,  34,  33,  32,  33,  34,  33,  32,  31,  31,  30,  29,  34,  34,  27,  27,  33,  32,  32,  0,  22,  0,  21,  0,  20,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  32,  27,  27,  34,  32,  21,  20,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  20,  20,  20,  34,  33,  21,  31,  31,  30,  30,  22,  23,  34,  34,  34,  33,  20,  22,  20,  0,  21,  0,  20,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  20,  0,  0,  0,  0,  22,  23,  25,  0,  0,  28,  28,  0,  0,  0,  28,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  20,  34,  33,  21,  31,  30,  29,  28,  34,  34,  26,  33,  32,  23,  22,  0,  21,  0,  20,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  22,  32,  30,  31,  31,  29,  0,  34,  34,  27,  33,  32,  20,  0,  0,  21,  0,  20,  0,  0,  0,  0,  0,  20,  0,  0,  0,  21,  33,  34,  0,  27,  33,  32,  22,  20,  21,  0,  21,  21,  0,  20,  0, 
20,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  21,  31,  34,  34,  34,  23,  28,  34,  34,  26,  26,  26,  28,  34,  34,  34,  34,  34,  34,  34,  34,  34,  34,  34,  34,  34,  34,  34,  34,  34,  34,  34,  34,  34,  34,  34,  27,  33,  32,  22,  22,  0,  21,  21,  0,  0,  0,  0,  0,  0,  0,  0,  0,  24,  31,  34,  0,  34,  33,  33,  33,  21,  32,  31,  31,  22,  23,  34,  34,  26,  27,  33,  32,  32,  32,  23,  0,  22,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  21,  22,  0,  0,  26,  33,  34,  21,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  20,  20,  34,  33,  33,  21,  31,  31,  22,  22,  23,  34,  34,  34,  34,  33,  20,  20,  0,  0,  20,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  25,  27,  23,  0,  22,  0,  22,  0,  26,  34,  21,  0,  28,  28,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  20,  20,  33,  21,  32,  31,  30,  23,  34,  34,  34,  27,  33,  32,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  20,  0,  33,  34,  34,  34,  34,  27,  33,  32,  32,  20,  0,  0,  0,  0,  0,  20,  0,  20,  0,  0,  0,  0,  0,  20,  0,  32,  33,  27,  27,  33,  33,  20,  20,  0,  0,  0,  0,  20,  0,  0, 
